ID,Name,Sponsor,Event,Venue,Place,PhysicalDescription,Occasion,Notes,CallNumber,Keywords,Language,Date,Location,LocationType,Currency,CurrencySymbol,Status,PageCount,DishCount
12463,NO NAME,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",CARD; 4.75X7.5;,EASTER,None,1900-2822,Empty,Empty,1900-04-15,HOTEL EASTMAN,Empty,UNKNOWN,&&&,COMPLETE,2,67
12464,NO NAME,REPUBLICAN HOUSE,DINNER,COMMERCIAL,"MILWAUKEE, WI",CARD; ILLUS; COL; 7.0X9.0;,EASTER,"WEDGEWOOD BLUE CARD; WHITE EMBOSSED GREEK KEY BORDER; ""EASTER SUNDAY"" EMBOSSED IN WHITE; VIOLET COLORED SPRAY OF FLOWERS IN UPPER LEFT CORNER;",1900-2825,Empty,Empty,1900-04-15,REPUBLICAN HOUSE,Empty,UNKNOWN,&&&,UNDER REVIEW,2,34
12465,NO NAME,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK-BREAKFAST,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, STEAMSHIP AND SAILING VESSEL;",1900-2827,Empty,Empty,1900-04-16,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,COMPLETE,2,84
12466,NO NAME,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,CARD; ILLU; COL; 5.5X8.0;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH SAILING VESSEL;",1900-2828,Empty,Empty,1900-04-16,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,COMPLETE,2,63
12467,NO NAME,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLU; COL; 5.5X7.5;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR SCENE WITH ROCKS AND LIGHTHOUSE; STEAMSHIP AND SAILING VESSELS; CONCERT PROGRAM; DATES: ON GERMAN SIDE OF MENU ""MONTAG, DEN 16 APRIL 1900""; ON ENGLISH SIDE OF MENU ""MONDAY, APRIL 15TH, 1900"";",1900-2829,Empty,Empty,1900-04-16,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,COMPLETE,4,33
12468,NO NAME,CANADIAN PACIFIC RAILWAY COMPANY,DINNER,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",CARD; ILLUS; COL; 4.75X7.25;,---------,"ILLUS, RED AND WHITE CHECKERED FLAG;",1900-2831,Empty,Empty,1900-04-16,CANADIAN PACIFIC RAILWAY COMPANY,Empty,UNKNOWN,&&&,COMPLETE,2,37
12469,NO NAME,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; COL; 6.0X8.75;,---------,HOTEL CREST IN BLUE; PRICED MENU;,1900-2838,Empty,Empty,1900-04-16,HOTEL NETHERLAND,Empty,DOLLARS,$,COMPLETE,2,144
12470,NO NAME,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK-BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE,BROADSIDE; ILLUS; COL; 5.5X8.50;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, LIGHTHOUSE; STEAMSHIP; FISHING DORY;",1900-2839,Empty,Empty,1900-04-17,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,COMPLETE,2,80
12471,NO NAME,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,BROADSIDE; ILLUS; COL; 5.5X8.50;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, SAILING SHIP/SHEETS FURLED; STEAMSHIP;",1900-2840,Empty,Empty,1900-04-17,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,UNDER REVIEW,2,67
12472,NO NAME,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE,FOLDER; ILLUS; COL; 5.5X7.5;,---------,"MENU IN GERMAN AND ENGLISH; ILLUS, HARBOR; LIGHTHOUSE; ROCKS; STEAMSHIP; SAILING SHIPS; CONCERT PROGRAM;",1900-2841,Empty,Empty,1900-04-17,NORDDEUTSCHER LLOYD BREMEN,Empty,UNKNOWN,&&&,COMPLETE,4,29
